Old Address,New Address,Structure Type
506 E 6th,506 E 6th St,Church
528 E 6th,530 E 6th St,Residence
529 E 6th,521 E 6th St,Residence
126 W 6th,126 W 6th St,Residence
117 W 6th,113 W 6th St,Business
137 W 6th #1,123 W 6th St,Residence
137 W 6th #2,127 W 6th St,Residence
137 W 6th #3,133 W 6th St,Residence
221 W 6th,213 W 6th St,Residence
233 W 6th,221 W 6th St,Residence
237 W 6th ,233 W 6th St,Residence
,314 W 6th St,Residence
,326 W 6th St,Residence
337 W 6th,333 W 6th St,Residence
,118 E 7th St,Residence
123 E 7th,133 E 7th St,Residence
202 E 7th,210 E 7th St,Residence
222 E 7th,216 E 7th St,Residence
320 E 7th,314 E 7th St,Residence
,322 E 7th St,Residence
Peck & 7th,326 E 7th St,Residence
,334 E 7th St,Residence
426 E 7th,418 E 7th St,Residence
,407 E 7th St,School
437 E 7th,433 E 7th St,School
435 E 7th,439 E 7th St,School
603 E 7th,603 E 7th St,School
600 E 6th,637 E 7th St,Residence
232 W 7th ,224 W 7th St,Residence
230 W 7th,230 W 7th St,Residence
902 9th St Cir,506 9th St Circle,Residence
904 9th St Cir,512 9th St Circle,Residence
906 9th St Cir,524 9th St Circle,Residence
908 9th St Cir,532 9th St Circle,Residence
913 9th St Cir,540 9th St Circle,Residence
901 9th St Cir,505 9th St Circle,Residence
903 9th St Cir,513 9th St Circle,Residence
905 9th St Cir,525 9th St Circle,Residence
909 9th St Cir,533 9th St Circle,Residence
911 9th St Cir,539 9th St Circle,Residence
,3090 Old 66 Rd,Business
,3004 Old 66 Rd,Business
,2198 Old 66 Rd,Business
,2104 Old 66 Rd,Residence
